"(50, 51)",0.9686958298796549
"(43, 44)",0.9910496259348567
"(83, 92)",0.9869052837970234
"(25, 26)",0.9920528092130736
"(30, 31)",0.9812130260235152
"(41, 42)",0.9813986344987979
"(85, 86)",0.978152773042007
"(104, 111)",0.9830173096628456
"(15, 22)",0.8764057772322813
"(16, 26)",0.9840170779180143
"(29, 30)",0.9879945086483195
"(39, 40)",0.9871784867769615
"(34, 43)",0.9823917992221891
"(47, 48)",0.9943758994502303
"(60, 61)",0.9856682671805258
"(54, 64)",0.9838847310664212
"(73, 85)",0.9898474953322064
"(77, 78)",0.9835959627782864
"(81, 82)",0.9642522672524209
"(98, 99)",0.9869468503998581
"(102, 103)",0.9881102423154453
"(106, 107)",0.9843940501676828
"(109, 114)",0.9896902717954916
"(117, 118)",0.9779062972584684
"(21, 22)",0.9491761212723924
"(55, 68)",0.967804848352424
"(4, 5)",0.9892030417679067
"(8, 16)",0.9751373084450115
"(12, 17)",0.9868391654703423
"(20, 21)",0.9632822934329316
"(35, 47)",0.9879009231820758
"(40, 41)",0.9742609440598923
"(61, 62)",0.9851963767238132
"(67, 68)",0.9761759132295262
"(58, 71)",0.9883156979962991
"(79, 80)",0.9824650713167997
"(84, 85)",0.9920655343520581
"(88, 89)",0.9783809803432238
"(99, 100)",0.986512338060679
"(105, 106)",0.9902917172820966
"(96, 109)",0.9882104267928106
"(116, 117)",0.9640692836167848
"(122, 123)",0.9703623186461343
"(3, 4)",0.9894927311525026
"(8, 9)",0.9874756348820736
"(12, 13)",0.9780370999347667
"(0, 14)",0.9879132986406904
"(20, 33)",0.9691110602497031
"(24, 34)",0.9654127755942186
"(28, 35)",0.9737968405546248
"(37, 52)",0.9777313077060812
"(45, 54)",0.9809501144604283
"(49, 55)",0.9406924170073345
"(59, 60)",0.9885925828847553
"(66, 73)",0.9903798364112277
"(76, 77)",0.9768500281424255
"(72, 81)",0.9866068176106103
"(74, 89)",0.9880926580189775
"(93, 106)",0.980744236564099
"(94, 95)",0.9865997068029891
"(91, 98)",0.9887292071621469
"(101, 102)",0.9837148473652977
"(114, 115)",0.9840720672595251
"(118, 119)",0.976770037845237
"(111, 122)",0.9853884497850307
"(125, 126)",0.9711526845341518
"(2, 3)",0.9813075809903291
"(6, 7)",0.9889021565265328
"(10, 11)",0.9808805712741959
"(14, 18)",0.9871253950537775
"(23, 24)",0.9763262473501431
"(27, 28)",0.987136783871041
"(31, 32)",0.9927795285363386
"(33, 39)",0.9898453391977259
"(45, 46)",0.9911732406248464
"(49, 50)",0.9812793596577656
"(53, 60)",0.9872740731666039
"(66, 67)",0.9889552177973301
"(71, 77)",0.98730948583802
"(70, 74)",0.9880874540993115
"(80, 81)",0.9864667538210343
"(90, 94)",0.9852118096529492
"(92, 102)",0.9837565442517033
"(87, 93)",0.9868051560093166
"(97, 98)",0.9909257334760776
"(110, 118)",0.9829855168990509
"(112, 126)",0.9846602388510625
"(113, 114)",0.98790781399959
"(121, 122)",0.9852173490215643
"(1, 2)",0.982055008975346
"(5, 6)",0.9906532547057341
"(9, 10)",0.9821373015059343
"(17, 30)",0.9821269498833888
"(18, 19)",0.9775491904633146
"(22, 23)",0.9787522945019521
"(26, 27)",0.9916560092254145
"(36, 51)",0.9510757716263438
"(38, 39)",0.9857774566981194
"(42, 43)",0.9867058407356304
"(46, 47)",0.9946450724219846
"(58, 59)",0.987853259746782
"(64, 65)",0.9908481179946184
"(68, 69)",0.9661936478799589
"(78, 79)",0.9853758226189989
"(82, 83)",0.9909014149728984
"(86, 87)",0.988286821434194
"(75, 90)",0.9563752455631616
"(96, 97)",0.9926569841013623
"(103, 104)",0.9829569611134017
"(107, 108)",0.9861432057856807
"(100, 110)",0.9890966562472359
"(120, 121)",0.9864706983405227
"(124, 125)",0.9787025553287767
"(0, 1)",0.9884315282085692
"(4, 15)",0.9306145601887447
"(7, 8)",0.9849303742927267
"(11, 12)",0.9852796451346013
"(19, 20)",0.980827674147679
"(24, 25)",0.9837148915282253
"(28, 29)",0.9718905624226866
"(32, 36)",0.9885267260557856
"(37, 38)",0.9810417138995264
"(41, 53)",0.9851422700658533
"(44, 45)",0.9862551454412974
"(48, 49)",0.9296698114090133
"(57, 58)",0.9855985367883172
"(65, 66)",0.9914634094473223
"(69, 70)",0.9852675469770948
"(62, 72)",0.9916777341791294
"(75, 76)",0.9798716747805365
"(79, 91)",0.9774358628825137
"(83, 84)",0.9864858079419785
"(87, 88)",0.9880459142730639
"(95, 96)",0.9833653243585446
"(100, 101)",0.987257916325069
"(104, 105)",0.9733541252176188
"(108, 112)",0.9868921641149557
"(115, 116)",0.9883310584152508
"(119, 120)",0.9829167144870292
"(123, 124)",0.9318432105762148
"(63, 64)",0
"(62, 63)",0
"(52, 56)",0
"(56, 57)",0
