"(0, 1)",0.7679324140423646,0.7606837019454527,0.7657245818042253,0.766672293219449
"(0, 14)",0.7812018335874259,0.7830565636408471,0.786970480186351,0.789144407769194
"(1, 2)",0.7200708031240253,0.7248496163398936,0.7252657033966529,0.718500254674611
"(2, 3)",0.769907214002331,0.7675545507695145,0.7620343226322163,0.7661191415922556
"(3, 4)",0.5966760666279016,0.5906784442685522,0.5916935731619332,0.5866692071064061
"(4, 5)",0.5371028663007805,0.5230131701149097,0.5398224926874943,0.5207877725942172
"(4, 15)",0.3522869232374495,0.35911288002188263,0.36790231797582246,0.36029882013725606
"(5, 6)",0.6479944742582595,0.638833035703647,0.6389040104801877,0.6430534854317436
"(6, 7)",0.617876333756532,0.6186317081311287,0.6158357372947473,0.6145994784866332
"(7, 8)",0.5287628824681786,0.5303133075135832,0.5211249154130082,0.52034652343346
"(8, 9)",0.5296564706298793,0.5289139639956988,0.5284934146672005,0.518676987126859
"(8, 16)",0.5370692268174349,0.5401160831919498,0.5418599417747446,0.5294121915838765
"(9, 10)",0.623675162054173,0.6164410962952175,0.6265472616626497,0.6329521957368734
"(10, 11)",0.6781805383093367,0.6766025155668954,0.6886207763910233,0.6903505898092308
"(11, 12)",0.5775268726197764,0.5915175108372751,0.5898570061773879,0.5835643381822804
"(12, 13)",0.6021484445055298,0.5959549054704356,0.6066936348598417,0.5986572093844463
"(12, 17)",0.4822654366604905,0.4768218471449395,0.48403504499266004,0.4842313207435599
"(14, 18)",0.7222270961666988,0.7152195270319256,0.7193133772426245,0.7075033645304939
"(15, 22)",0.42709253631588334,0.45037564451157847,0.4342062870911354,0.4467960054077879
"(16, 26)",0.5964165355445545,0.6067419520957107,0.6157093507199166,0.5955554839928804
"(17, 30)",0.46026116753710045,0.45802120152822584,0.45958769616470074,0.4707990873969259
"(18, 19)",0.568857732386028,0.5748852217861845,0.5787300949536948,0.5793581151299407
"(19, 20)",0.04812957729988271,0.07403269859582826,0.07244516043359903,0.06495992029574404
"(20, 21)",0.013366538924276904,0.011458633900353864,0.008743578084085064,0.01580031742972119
"(20, 33)",0.1259482003787007,0.14308090854278338,0.13486888445689174,0.14451898902301036
"(21, 22)",0.32518592818028547,0.3271260205034072,0.3402854918352624,0.33825964161801714
"(22, 23)",0.6241629012429358,0.6135296987280326,0.6248154936039124,0.6216399725104952
"(23, 24)",0.5597424852620073,0.5623503897741393,0.5570944399045875,0.5599895963349522
"(24, 25)",0.706549737076239,0.7066264553367123,0.7122123149140478,0.7062899437659546
"(24, 34)",0.6185760185595883,0.6246230464008934,0.6189066190536198,0.6205309327822133
"(25, 26)",0.7116626410689431,0.7100460063961251,0.7161540849298055,0.7087132463752719
"(26, 27)",0.6772837120190978,0.686863273925879,0.6749818289385189,0.7005877583978346
"(27, 28)",0.7802678629541288,0.7904509213369978,0.7874878627058945,0.786875193654977
"(28, 29)",0.7377865055259188,0.7328725875716053,0.7438420437128052,0.7278300165031298
"(28, 35)",0.7636025657944918,0.7571420292690731,0.765635481500978,0.7696521839570475
"(29, 30)",0.552920127279563,0.5542122951169944,0.5524014942759893,0.5394191795628316
"(30, 31)",0.48013665161256625,0.4829092003921476,0.47996839266461405,0.4919851081237354
"(31, 32)",0.6392967492075423,0.6346915037517954,0.6463634334355406,0.6338920771713348
"(32, 36)",0.710116107437341,0.7231922500201811,0.7200406342241444,0.7017829303709318
"(33, 39)",0.7949512565109279,0.8064828579222905,0.7997281528371257,0.8027715520422773
"(34, 43)",0.5989714414125664,0.5964570543863494,0.5986808477382839,0.6003735454286474
"(35, 47)",0.7964096174465751,0.8032839121064158,0.7927000492323872,0.7979398955205083
"(36, 51)",0.8068940681896435,0.8061704760748111,0.7943475395690546,0.8035623629637687
"(37, 38)",0.8054430933980794,0.8024280711934457,0.7938430201944875,0.807778679512793
"(37, 52)",0.8209946564044255,0.8176829142991008,0.8278414818218472,0.8280962284990407
"(38, 39)",0.7906622190858642,0.7970074847780592,0.8066518617227075,0.8031322054863663
"(39, 40)",0.8588483638853748,0.8590729332699911,0.8583114939155221,0.8559687117118774
"(40, 41)",0.7193811516913202,0.7226213131387229,0.7245964976854233,0.7170326896186546
"(41, 42)",0.7226100148029015,0.7243999830078064,0.7484837742282562,0.7470823836086924
"(41, 53)",0.6654126541015297,0.6650140756102529,0.6667646207102376,0.6712917207174592
"(42, 43)",0.6865993496150866,0.6900430971897107,0.6924633485580274,0.6947695263862729
"(43, 44)",0.739025802270459,0.7370505522201267,0.7365484484164488,0.7422904960543678
"(44, 45)",0.8829736324625505,0.8915131531826879,0.8828209531965038,0.8873357348209103
"(45, 46)",0.8709671104251014,0.8622026622462031,0.8664754659194566,0.8548410989791736
"(45, 54)",0.7168181744690238,0.7131535488101401,0.7098382751498131,0.713805562552097
"(46, 47)",0.8358164444532241,0.8388827638356805,0.8435867468732324,0.8383865540669184
"(47, 48)",0.8631185985124455,0.8672954676106708,0.8657468694174706,0.8655965153330311
"(48, 49)",0.8565914516255324,0.8526549878920345,0.8560734127825527,0.8381053746310697
"(49, 50)",0.8398490222801227,0.839479886922216,0.8482343102832294,0.8424477885729947
"(49, 55)",0.8253656637227101,0.8220970314008863,0.8174930394587744,0.8017610625584427
"(50, 51)",0.8912437960968975,0.8816749139968494,0.8924573614155906,0.8940273243494543
"(52, 56)",0.8035339632811083,0.7981273001030373,0.8082085432442052,0.7979291170125904
"(53, 60)",0.6964629368488573,0.6976144846579535,0.7058490031463617,0.6914355949068227
"(54, 64)",0.5447344885625187,0.5348363082260241,0.5381757732815314,0.5443074369646812
